Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2017-01-11,39.929353904724124,,47.518293895721435,16.844299206733705,49.664260711669925,41.61411142349243,41.79438600540161,23.596484117507934,36.963678722381594,61.26222846984863,72.83593315124511
2017-01-12,39.95681266784668,,47.566149463653566,16.866989884376526,49.70014947891235,41.63989933013916,41.79114191055298,23.595572957992555,36.96569667816162,61.278231945037845,72.86116497039795
2017-01-13,39.98551036834717,,47.61334312438965,16.890404715538025,49.737624702453616,41.666777000427246,41.78911079406738,23.59381498336792,36.96637031555176,61.29543914794922,72.88822555541992
2017-01-17,40.01145387649536,,47.664966907501224,16.91075258731842,49.77188390731811,41.69125673294067,41.78779994964599,23.592753562927246,36.9683595085144,61.3077840423584,72.9144348526001
2017-01-18,40.04119506835937,,47.717535762786866,16.932284665107726,49.80984983444214,41.717095127105715,41.787127838134765,23.592126865386962,36.970899963378905,61.316224040985105,72.94276203155518
2017-01-19,40.070747985839844,,47.77007947921753,16.954481959342957,49.85124168395996,41.74455026626587,41.787105102539066,23.591421279907227,36.97525545120239,61.326568927764896,72.97292877197266
2017-01-20,40.10008337020874,,47.81915987014771,16.976738595962523,49.891531734466554,41.77130123138428,41.786796207427976,23.591109838485718,36.980177059173585,61.32824676513672,73.00084747314453
2017-01-23,40.13253736495972,,47.86672435760498,16.999788417816163,49.93255958557129,41.801344623565676,41.78867279052734,23.592461280822754,36.98421947479248,61.331966438293456,73.03306865692139
2017-01-24,40.16935678482056,,47.91290546417236,17.023800568580626,49.97541446685791,41.83280265808106,41.79081073760986,23.592756633758544,36.98725793838501,61.334417781829835,73.06899684906006
2017-01-25,40.20682294845581,,47.96132837295532,17.049166865348816,50.021074542999266,41.8669913482666,41.794392890930176,23.59240993499756,36.99107652664185,61.341961002349855,73.10862197875977
2017-01-26,40.24230752944946,,48.00364715576172,17.073834042549134,50.066024703979494,41.89919044494629,41.79577024459839,23.591477499008178,36.993708248138425,61.34476121902466,73.14617332458496
2017-01-27,40.27512367248535,,48.04223264694214,17.09637905597687,50.10728193283081,41.93027603149414,41.797593879699704,23.59001509666443,36.99741636276245,61.3472484588623,73.17750885009765
2017-01-30,40.30553730010986,,48.07558197021484,17.117944345474243,50.145742626190184,41.959535675048826,41.80019548416138,23.58837600708008,37.00149991989136,61.34808910369873,73.20838581085205
2017-01-31,40.33377195358276,,48.11200414657593,17.139143543243406,50.18144866943359,41.988419914245604,41.8025039100647,23.586875648498534,37.00744079589844,61.35396018981933,73.23767112731933
2017-02-01,40.36223217010498,,48.14296766281128,17.15989086151123,50.21646816253662,42.01818271636963,41.80200794219971,23.583658313751222,37.00943405151367,61.35969202041626,73.2628288269043
2017-02-02,40.38561491012573,,48.17095361709595,17.179266109466553,50.249273796081546,42.04861488342285,41.80354068756103,23.582196731567382,37.01307521820068,61.36426570892334,73.2896566772461
2017-02-03,40.409958114624025,,48.19911472320557,17.200029411315917,50.284488372802734,42.08014772415161,41.80877086639404,23.582654390335083,37.02151454925537,61.36855567932129,73.31552753448486
2017-02-06,40.43458200454712,,48.22645290374756,17.22104021549225,50.32068475723267,42.11253782272339,41.81651725769043,23.585080366134644,37.03328750610351,61.37139255523682,73.34151908874512
2017-02-07,40.45610710144043,,48.24693723678589,17.241045393943786,50.35676198959351,42.14930767059326,41.82523410797119,23.58583685874939,37.04395784378052,61.37389039993286,73.3678678894043
2017-02-08,40.47880235671997,,48.270571346282956,17.26053957462311,50.3935959815979,42.1864430809021,41.83342113494873,23.586766023635864,37.05612451553345,61.377110900878904,73.39619380950927
2017-02-09,40.499836654663085,,48.29340219497681,17.28088524341583,50.43042329788208,42.225254173278806,41.84330459594727,23.587859926223754,37.06642929077148,61.382616901397704,73.42609024047852
2017-02-10,40.521194229125975,,48.31377595901489,17.301392645835875,50.46775430679321,42.26565042495727,41.85237096786499,23.590181579589842,37.07535299301148,61.38907316207886,73.45873329162598
2017-02-13,40.54623268127441,,48.338116550445555,17.32390236377716,50.51022142410278,42.30952764511108,41.86124216079712,23.592951049804686,37.08545209884644,61.39889570236206,73.49572666168213
2017-02-14,40.57239059448242,,48.363666248321536,17.34804786205292,50.55421730041504,42.35584651947021,41.87058267593384,23.59621943473816,37.0931008720398,61.41594884872436,73.5331566619873
2017-02-15,40.597547969818116,,48.38844736099243,17.3722865819931,50.598493118286136,42.40154537200928,41.87953153610229,23.597946043014527,37.09884311676026,61.43471529006958,73.56762722015381
2017-02-16,40.625941371917726,,48.41518014907837,17.39729259490967,50.64480579376221,42.449547843933104,41.88914966583252,23.599578504562377,37.10660280227661,61.453990650177005,73.60342887878419
2017-02-17,40.6556517791748,,48.44376512527466,17.422954936027526,50.694518909454345,42.49895706176758,41.89921829223633,23.599872579574583,37.11235933303833,61.476571540832516,73.64214344024658
2017-02-21,40.68703365325928,,48.472243804931644,17.449162425994874,50.74578277587891,42.549508285522464,41.91119951248169,23.60167543411255,37.12080501556397,61.49934118270874,73.6854587173462
2017-02-22,40.717471027374266,,48.49741321563721,17.475114192962646,50.79470121383667,42.5989376449585,41.92216598510742,23.602406940460206,37.131240367889404,61.52339094161987,73.72614933013917
2017-02-23,40.74900827407837,,48.52686639785767,17.501270513534546,50.84282497406006,42.648321266174314,41.93251766204834,23.602732887268065,37.14261871337891,61.54639776229858,73.76313892364502
2017-02-24,40.77785665512085,,48.5501362991333,17.525492486953734,50.88812786102295,42.695775966644284,41.941556243896486,23.603216142654418,37.15674800872803,61.5684379196167,73.79734706878662
2017-02-27,40.80682033538818,,48.57484260559082,17.551120500564576,50.936459140777586,42.74448963165283,41.9512784576416,23.606488990783692,37.16910251617432,61.595683097839355,73.83934448242188
2017-02-28,40.83474332809448,,48.598170585632325,17.576671843528747,50.98413473129273,42.79260274887085,41.960146827697756,23.608984489440918,37.182172241210935,61.62403461456299,73.87768260955811
2017-03-01,40.86883628845215,,48.62933235168457,17.606159176826477,51.0395666885376,42.844813194274906,41.97270637512207,23.612888765335082,37.19437923431396,61.65632604598999,73.92472255706787
2017-03-02,40.89724710464478,,48.654343872070314,17.633576340675354,51.089009323120116,42.89276990890503,41.983898372650145,23.614823570251463,37.20777444839477,61.683547477722165,73.96858196258545
2017-03-03,40.92648485183716,,48.677845821380615,17.66194779396057,51.13989887237549,42.94321033477783,41.99835462570191,23.61834349632263,37.22367998123169,61.71519918441773,74.01587253570557
2017-03-06,40.95723388671875,,48.7040874671936,17.68814621925354,51.190903911590574,42.99292552947998,42.01423725128174,23.62424345970154,37.242584800720216,61.7443496131897,74.06391567230224
2017-03-07,40.98609573364258,,48.72807182312012,17.714796652793883,51.24329446792603,43.04367631912231,42.02784942626953,23.629959115982057,37.25959199905395,61.77372930526733,74.11099151611329
2017-03-08,41.013588466644286,,48.744264106750485,17.7409441280365,51.29350553512573,43.092404499053956,42.04203809738159,23.633133192062378,37.2733683013916,61.80166751861572,74.15741050720214
2017-03-09,41.03816593170166,,48.76263444900513,17.7675430727005,51.342846717834476,43.14144727706909,42.05638990402222,23.63444478034973,37.28832248687744,61.83258474349976,74.20468437194825
2017-03-10,41.062469749450685,,48.77953130722046,17.79286349773407,51.39149604797363,43.188165740966795,42.07001913070679,23.634877843856813,37.30309534072876,61.86047437667847,74.24834609985352
2017-03-13,41.08500019073486,,48.79287986755371,17.81758713245392,51.43836145401001,43.23376153945923,42.083495197296145,23.634681224822998,37.31896034240722,61.886217765808105,74.29111648559571
2017-03-14,41.107748107910155,,48.80443977355957,17.842489943504333,51.48323104858398,43.27817935943604,42.095513858795165,23.634421548843385,37.332591381073,61.910703353881836,74.33307113647462
2017-03-15,41.13408042907715,,48.821212692260744,17.866676840782166,51.5304020690918,43.32329452514649,42.108931121826174,23.635926418304443,37.34905267715454,61.93793931961059,74.37546085357666
2017-03-16,41.159889698028564,,48.837135887146,17.891238684654237,51.57632152557373,43.36814123153687,42.123994750976564,23.63711322784424,37.362151298522946,61.9612359046936,74.41816680908204
2017-03-17,41.18639789581299,,48.85281272888184,17.91459572315216,51.62357582092285,43.414010009765626,42.13634881973267,23.638957109451294,37.3759467124939,61.98160673141479,74.46160942077637
2017-03-20,41.21305477142334,,48.86844720840454,17.936927371025085,51.67001335144043,43.46028810501099,42.14906536102295,23.640550079345704,37.38836120605469,61.99755573272705,74.50209518432617
2017-03-21,41.23432804107666,,48.8832564163208,17.957511858940123,51.71232973098755,43.50344331741333,42.16025386810303,23.641428689956665,37.400644855499266,62.01196395874023,74.53987468719482
2017-03-22,41.2542032623291,,48.89270015716553,17.97740529537201,51.7533953666687,43.54775001525879,42.170767593383786,23.642514038085938,37.414149341583254,62.02478769302368,74.57720932006836
2017-03-23,41.27492652893066,,48.89591047286987,17.997682909965516,51.79292589187622,43.59060483932495,42.18103523254395,23.644375677108766,37.427187538146974,62.03853858947754,74.61501098632813
2017-03-24,41.29254148483276,,48.898723182678225,18.01776409626007,51.830193271636965,43.63323766708374,42.18961271286011,23.645562229156493,37.43984132766724,62.05139207839966,74.65337135314941
2017-03-27,41.31207403182984,,48.90222604751587,18.038040194511414,51.8665064239502,43.675825424194336,42.19716993331909,23.64555407524109,37.45012907028198,62.065630989074705,74.69240840911866
2017-03-28,41.3356392288208,,48.914203052520755,18.060672874450685,51.90860727310181,43.7216848564148,42.20497121810913,23.646803646087648,37.46074607849121,62.08257352828979,74.73823669433594
2017-03-29,41.36157251358032,,48.93018259048462,18.083209924697876,51.95325147628784,43.77016288757324,42.21493034362793,23.648506212234498,37.471048011779786,62.102045917510985,74.78840263366699
2017-03-30,41.38900014877319,,48.94622863769531,18.10823121547699,51.99941328048706,43.81864875793457,42.223628978729245,23.651020803451537,37.47880983352661,62.1210905456543,74.8405312347412
2017-03-31,41.41551422119141,,48.96198184967041,18.1322954082489,52.044320316314696,43.86717182159424,42.23231185913086,23.652862482070923,37.488528900146484,62.141320896148684,74.89171031951905
2017-04-03,41.44051815032959,,48.97840766906738,18.155941324234007,52.08819660186768,43.91506055831909,42.23954093933106,23.654250421524047,37.49702077865601,62.160741081237795,74.94014831542968
2017-04-04,41.46547142028808,,48.99429384231567,18.179524154663085,52.13260913848877,43.96444007873535,42.24826307296753,23.655481300354005,37.505445880889894,62.183149909973146,74.98850105285645
2017-04-05,41.48912965774536,,49.00741909027099,18.201891989707946,52.17393709182739,44.01199739456177,42.25591693878174,23.656791305541994,37.51569702148438,62.202663803100585,75.03270919799805
2017-04-06,41.51451484680176,,49.01975347518921,18.224455332756044,52.21621555328369,44.05824317932129,42.263020839691166,23.65782724380493,37.525186424255374,62.22377632141113,75.07897644042968
